id,url,title,creator,licence,tri,joints,anims,heads_tall,leg_frac,neck_frac,head_w,chest_w,chest_d,hip_w,note
tVqkTeQhCO,https://poly.pizza/m/tVqkTeQhCO,Stylized Character,Zsky,CC-BY 3.0,39508,69,14,6.45,0.34,0.845,0.153,0.491,0.435,0.581,
07wMEaAf6x,https://poly.pizza/m/07wMEaAf6x,Male Low Poly Character,pessiuff,CC-BY 3.0,1086,0,0,8.7,0.48,0.885,0.086,0.199,0.148,0.184,
5EGWBMpuXq,https://poly.pizza/m/5EGWBMpuXq,Adventurer,Quaternius,CC0 1.0,10198,62,24,8.7,0.62,0.885,0.084,0.103,0.082,0.114,
AZzoJo1FBm,https://poly.pizza/m/AZzoJo1FBm,Animated Character Base,J-Toastie,CC-BY 3.0,2096,52,1,8.7,0.408,0.885,0.258,1.518,6.149,7.214,
RaWl2GJ0NZ,https://poly.pizza/m/RaWl2GJ0NZ,Warrior,mastjie,CC0 1.0,4222,0,0,8.7,0.37,0.885,0.172,0.197,0.134,0.254,
9kF7eTDbhO,https://poly.pizza/m/9kF7eTDbhO,Animated Woman,Quaternius,CC0 1.0,1908,41,10,6.06,0.481,0.835,0.089,0.07,0.057,0.195,
BMs52Y9rL5,https://poly.pizza/m/BMs52Y9rL5,Base Character,AroniaStudios,CC-BY 3.0,608,29,0,6.06,0.46,0.835,0.129,0.121,0.122,0.166,
DojKLcO34E,https://poly.pizza/m/DojKLcO34E,Beach Character,Quaternius,CC0 1.0,6574,62,24,6.06,0.47,0.835,0.118,0.132,0.11,0.162,
qJ2gsTUBHL,https://poly.pizza/m/qJ2gsTUBHL,Animated Woman,Quaternius,CC0 1.0,6424,62,24,6.06,0.49,0.835,0.126,0.119,0.085,0.186,
uI2hL4egzN,https://poly.pizza/m/uI2hL4egzN,Pablo,bobbeh,CC-BY 3.0,1244,11,0,6.06,0.42,0.835,0.127,0.339,0.194,0.247,
tTWnexTPoW,https://poly.pizza/m/tTWnexTPoW,Woman Base Posed,Rub,CC0 1.0,676,0,0,5.71,0.32,0.825,0.15,0.241,0.175,0.131,
ycfbSrNLqa,https://poly.pizza/m/ycfbSrNLqa,Women Base,Rub,CC0 1.0,688,0,0,5.71,0.45,0.825,0.148,0.169,0.159,0.223,
zMyPlQXBzq,https://poly.pizza/m/zMyPlQXBzq,Woman in Dress,Quaternius,CC0 1.0,1786,31,11,9.52,0.377,0.895,0.175,0.843,2.005,3.821,
mED3MPaQ6i,https://poly.pizza/m/mED3MPaQ6i,Grandpa,scaranto,CC0 1.0,768,0,0,5.41,0.39,0.815,0.145,0.202,0.159,0.18,
unRjSSz2cH,https://poly.pizza/m/unRjSSz2cH,Big Head Character Base,hutao_loml,CC-BY 3.0,2022,0,0,5.41,0.48,0.815,0.207,0.146,0.094,0.194,
QeIc9Mzjzs,https://poly.pizza/m/QeIc9Mzjzs,Woman,Polygonal Mind,CC0 1.0,3592,0,0,5.13,,0.805,0.154,0.13,0.677,0.147,
zeM6ZT46eD,https://poly.pizza/m/zeM6ZT46eD,Blank Woman,Polygonal Mind,CC0 1.0,2450,0,0,4.88,,0.795,0.135,0.121,0.161,0.15,
DmuNsLPHvr,https://poly.pizza/m/DmuNsLPHvr,Man,Logia_studios,CC0 1.0,8000,0,0,4.65,0.33,0.785,0.228,0.25,0.108,0.244,
NvDx04YkKo,https://poly.pizza/m/NvDx04YkKo,Buff man,joney_lol,CC-BY 3.0,872,0,0,10.53,0.32,0.905,0.102,0.554,0.262,0.268,
MecWbYSEVe,https://poly.pizza/m/MecWbYSEVe,Woman,Polygonal Mind,CC0 1.0,3020,0,0,4.08,0.42,0.755,0.269,0.165,0.184,0.147,
usAZvwbH0Y,https://poly.pizza/m/usAZvwbH0Y,Woman,Polygonal Mind,CC0 1.0,3396,0,0,4.08,,0.755,0.209,0.118,0.703,0.136,
3w4Bgw7Phn,https://poly.pizza/m/3w4Bgw7Phn,Man,Polygonal Mind,CC0 1.0,3140,0,0,3.92,,0.745,0.198,0.136,0.653,0.135,
6kY9VaAfPv,https://poly.pizza/m/6kY9VaAfPv,Wizard,Polygonal Mind,CC0 1.0,3416,0,0,3.92,0.26,0.745,0.212,0.116,0.161,0.114,
6kFNcL9OnO,https://poly.pizza/m/6kFNcL9OnO,Hyper Casual Character,J-Toastie,CC-BY 3.0,4878,33,1,3.77,0.481,0.735,0.098,0.179,0.855,0.199,
aEiJdtjqqc,https://poly.pizza/m/aEiJdtjqqc,Mask Woman,Polygonal Mind,CC0 1.0,2662,0,0,3.77,0.19,0.735,0.136,0.108,0.543,0.077,
83DpVkzvWk,https://poly.pizza/m/83DpVkzvWk,Human Dude Guy,hat_my_guy,CC0 1.0,1332,0,0,3.64,0.38,0.725,0.226,0.172,0.169,0.18,
DgOCW9ZCRJ,https://poly.pizza/m/DgOCW9ZCRJ,Character Animated,Quaternius,CC0 1.0,6050,31,24,3.64,-0.018,0.725,0.293,0.0,0.0,0.0,
imEy3Tqg80,https://poly.pizza/m/imEy3Tqg80,Old Guy,Polygonal Mind,CC0 1.0,3364,0,0,3.64,,0.725,0.283,0.147,0.204,0.141,
isC73B8SKq,https://poly.pizza/m/isC73B8SKq,Knight,Dawid2K,CC-BY 3.0,2074,31,0,3.64,0.27,0.725,0.052,0.184,0.813,0.071,
roXp0kV2X4,https://poly.pizza/m/roXp0kV2X4,Alien,Polygonal Mind,CC0 1.0,3886,0,0,3.39,,0.705,0.253,0.136,0.187,0.136,
ejDr8lRglP,https://poly.pizza/m/ejDr8lRglP,Robot,Polygonal Mind,CC0 1.0,2005,0,0,2.9,,0.655,0.309,0.198,0.601,0.215,measure_fail(z-up/offset)
vWI9PHfjcy,https://poly.pizza/m/vWI9PHfjcy,Witch,Polygonal Mind,CC0 1.0,3586,0,0,2.82,0.21,0.645,0.281,0.103,0.155,0.083,measure_fail(z-up/offset)
nbLBTJMg0b,https://poly.pizza/m/nbLBTJMg0b,Man,Polygonal Mind,CC0 1.0,3928,0,0,2.74,,0.635,0.297,0.177,0.232,0.186,measure_fail(z-up/offset)
6wwhxwBBLf,https://poly.pizza/m/6wwhxwBBLf,Bob,J-Toastie,CC-BY 3.0,9756,0,0,2.6,0.24,0.615,0.431,0.49,0.353,0.346,measure_fail(z-up/offset)
ozSIyRIcIj,https://poly.pizza/m/ozSIyRIcIj,Block Character,J-Toastie,CC-BY 3.0,540,3,2,2.6,,0.615,0.976,0.976,1.179,1.001,measure_fail(z-up/offset)
uWHZUstuko,https://poly.pizza/m/uWHZUstuko,Geeeeeeeeeeee,Vaporworks,CC-BY 3.0,2098,0,0,2.53,,0.605,0.517,0.253,0.176,0.195,measure_fail(z-up/offset)
w0OIUlEgcF,https://poly.pizza/m/w0OIUlEgcF,Adventurer,madtrollstudio,CC-BY 3.0,22324,0,0,13.33,0.42,0.925,0.086,0.201,0.255,0.285,measure_fail(z-up/offset)
1TnT5Xc6vq,https://poly.pizza/m/1TnT5Xc6vq,Knight,Vaporworks,CC-BY 3.0,810,26,1,15.38,0.23,0.935,0.023,0.03,0.007,0.139,measure_fail(z-up/offset)
55CFwX3lpK,https://poly.pizza/m/55CFwX3lpK,Pin Character,Polygonal Mind,CC0 1.0,2924,0,0,15.38,0.2,0.935,0.015,0.054,0.054,0.012,measure_fail(z-up/offset)
75ikp7NEDx,https://poly.pizza/m/75ikp7NEDx,Cube Woman Character,Quaternius,CC0 1.0,3596,32,36,15.38,0.463,0.935,1.197,1.27,1.437,2.172,measure_fail(z-up/offset)
alAfUm23MD,https://poly.pizza/m/alAfUm23MD,Character,Cookies_Assets,CC-BY 3.0,12587,30,0,15.38,,0.935,0.455,1.838,4.09,4.379,measure_fail(z-up/offset)
AQsd9ngvKU,https://poly.pizza/m/AQsd9ngvKU,Woman,Quaternius,CC0 1.0,2004,31,11,15.38,0.21,0.935,0.654,3.192,2.962,0.954,measure_fail(z-up/offset)
BTALZymknF,https://poly.pizza/m/BTALZymknF,Punk,Quaternius,CC0 1.0,5500,62,24,15.38,0.44,0.935,0.039,0.233,0.094,0.155,measure_fail(z-up/offset)
cwYvO5UauX,https://poly.pizza/m/cwYvO5UauX,Animated Base Character,Quaternius,CC-BY 3.0,13744,53,45,15.38,0.21,0.935,0.836,5.212,4.858,0.84,measure_fail(z-up/offset)
DLptRuewTn,https://poly.pizza/m/DLptRuewTn,Man in Long Sleeves,Quaternius,CC0 1.0,1970,31,11,15.38,0.412,0.935,0.684,1.272,2.567,3.969,measure_fail(z-up/offset)
fjHyMd5Wxw,https://poly.pizza/m/fjHyMd5Wxw,Man,Quaternius,CC0 1.0,1854,31,11,15.38,0.21,0.935,0.815,3.34,3.062,0.952,measure_fail(z-up/offset)
HMnuH5geEG,https://poly.pizza/m/HMnuH5geEG,Man,Quaternius,CC0 1.0,1852,31,11,15.38,0.21,0.935,0.815,3.34,3.062,0.952,measure_fail(z-up/offset)
jNp6bjMW9a,https://poly.pizza/m/jNp6bjMW9a,Generic Male,J-Toastie,CC-BY 3.0,4070,27,5,15.38,0.19,0.935,0.509,0.594,0.512,0.293,measure_fail(z-up/offset)
jpKRgGDxhk,https://poly.pizza/m/jpKRgGDxhk,Woman Casual,Quaternius,CC0 1.0,2776,31,11,15.38,0.2,0.935,0.506,1.584,2.775,0.924,measure_fail(z-up/offset)
mQnGoME1ez,https://poly.pizza/m/mQnGoME1ez,Man in Suit,Quaternius,CC0 1.0,2058,31,11,15.38,0.2,0.935,0.678,1.135,2.434,0.857,measure_fail(z-up/offset)
nfrpFnfKh3,https://poly.pizza/m/nfrpFnfKh3,Lowpoly Chibi Character,mehreen1919,CC-BY 3.0,1512,0,0,15.38,,0.935,0.322,0.43,0.445,0.234,measure_fail(z-up/offset)
qot6C6GS9U,https://poly.pizza/m/qot6C6GS9U,Generic Female,J-Toastie,CC-BY 3.0,5314,27,5,15.38,0.18,0.935,0.495,0.535,0.534,0.23,measure_fail(z-up/offset)
XqzeZGB7iU,https://poly.pizza/m/XqzeZGB7iU,Woman in Tank Top,Quaternius,CC0 1.0,1983,31,11,15.38,0.2,0.935,0.583,2.098,2.898,0.939,measure_fail(z-up/offset)
Z6ZUtm6kc1,https://poly.pizza/m/Z6ZUtm6kc1,Warrior,mastjie,CC0 1.0,4300,0,0,15.38,0.34,0.935,0.032,0.246,0.103,0.237,measure_fail(z-up/offset)
gjuwleUT1U,https://poly.pizza/m/gjuwleUT1U,Lis,Quaternius,CC0 1.0,7785,43,20,18.18,0.63,0.945,0.0,0.0,0.0,0.0,measure_fail(z-up/offset)
